frame,X,Y,Z
384,47.6403,95.7713,48.1777
385,47.4736,95.8030,48.2666
386,47.4175,95.6700,48.3232
387,47.3242,95.4895,48.2947
388,47.1635,95.3711,48.3115
389,46.9672,95.1265,48.2415
390,46.6445,94.6988,48.2446
391,46.2437,94.5003,48.1426
392,45.9805,94.4000,48.1615
393,45.8249,94.1872,48.1753
394,45.7925,94.1326,48.2016
395,45.8203,93.9010,48.0957
396,45.7546,93.6801,48.0497
397,45.5902,93.5457,48.0196
398,45.3710,93.2466,47.9486
399,45.0980,92.8930,47.8251
400,44.7662,92.7059,47.7921
401,44.6300,92.5056,47.8288
402,44.7169,92.3244,47.8013
403,44.8092,92.2884,47.8024
404,44.9689,92.2240,47.8328
405,45.0453,92.1129,47.8339
406,44.8392,92.1060,47.8824
407,44.5510,92.0355,47.8553
408,44.2129,91.9185,47.8190
409,43.7820,91.7197,47.8395
410,43.6675,91.7637,47.8162
411,43.5386,91.6365,47.8034
412,43.4395,91.6849,47.7485
413,43.3418,91.5775,47.6449
414,43.1391,91.3941,47.5908
415,42.8099,91.2447,47.5457
416,42.5542,90.9822,47.4394
417,42.4065,90.5807,47.2806
418,42.3387,90.3401,47.1858
419,42.4023,90.1529,47.1586
420,42.5005,90.1943,47.1411
421,42.5149,90.3627,47.1634
422,42.5639,90.4920,47.2221
423,42.6557,90.5706,47.2586
424,42.6469,90.6889,47.2960
425,42.5583,90.7585,47.3168
426,42.6080,90.8296,47.3759
427,42.7203,90.9096,47.4213
428,42.8716,90.9674,47.4142
429,42.9788,91.2187,47.4608
430,42.9758,91.5320,47.6017
431,43.0380,91.6489,47.6706
432,43.1196,91.6643,47.6239
433,43.0428,91.7077,47.6018
434,42.9152,91.5713,47.6253
435,42.7787,91.4777,47.5217
436,42.6343,91.4206,47.4582
437,42.5720,91.2508,47.3508
438,42.5534,91.2130,47.3397
439,42.5199,91.2620,47.3494
440,42.5242,91.1560,47.2860
441,42.4680,90.9111,47.2046
442,42.5363,90.8295,47.2108
443,42.5780,90.7444,47.2061
444,42.5579,90.8286,47.2721
445,42.5652,90.9515,47.3289
446,42.6543,90.9545,47.3479
447,42.7454,91.0843,47.4658
448,42.7546,91.3419,47.5778
449,42.8428,91.5338,47.6551
450,42.9818,91.5505,47.6418
451,43.0630,91.6687,47.6591
452,43.0721,91.6753,47.6157
453,43.0123,91.7780,47.6497
454,42.8922,91.9188,47.6493
455,42.8870,91.7880,47.5998
456,42.8889,91.5015,47.4836
457,42.7832,91.4277,47.4731
458,42.8461,91.3133,47.4524
459,42.8242,91.1439,47.3775
460,42.7902,91.0420,47.3321
461,42.7704,90.9892,47.2689
462,42.6529,91.0280,47.2456
463,42.3966,90.9318,47.2388
464,42.3291,90.7311,47.2028
465,42.3282,90.6750,47.2348
466,42.4913,90.7883,47.2910
467,42.6072,90.9563,47.3864
468,42.6539,91.1205,47.4961
469,42.7639,91.2480,47.6081
470,42.8910,91.3531,47.7210
471,42.8998,91.6231,47.8740
